,artist,song,link,lyrics,genre
0,Mos Def,Mathematics prod. by DJ Premier,http://genius.com/Yasiin-bey-mathematics-lyrics,"Beats by Su-Primo for all of my people, negroes and latinos
And even the gringos


Yo, check it
One for Charlie Hustle, 2 for Steady Rock
3 for the forthcoming live future shock
It's 5 dimensions, 6 senses
7 firmaments of heaven and hell,8 Million Stories to tell
9 planets faithfully keep in orbit with the probable tenth
The universe expands length
The body of my text possess extra strength
Power-lift the powerless up out of this towering inferno
My ink so hot it burn through the journal
I'm blacker than midnight on Broadway and Myrtle
Hip-Hop passed all your tall social hurdles
Like the nationwide project-prison-industry complex
Working-class poor: better keep your alarm set
Streets too loud to ever hear freedom ring
Say evacuate your sleep, it's dangerous to dream
For ch-ching, cats get the ""cha-pow!"" You dead now
Killing fields need blood to graze the cash cow
It's a numbers game, but shit don't add up somehow
Like I got, 16 to 32 bars to rock it
But only 15% of profits ever see my pockets like
69 billion in the last 20 years
Spent on national defense but folks still live in fear like
Nearly half of America's largest cities is one-quarter black
That's why they gave Ricky Ross all the crack
16 ounces to a pound, 20 more to a ki
A 5-minute sentence hearing and you're no longer free
40% of Americans own a cell phone
So they can hear everything that you say when you ain't home
I guess Michael Jackson was right: ""You Are Not Alone""
Rock your hardhat, black, cause you in the Terrordome
Full of hard niggas, large niggas, dice-tumblers
Young teens and prison greens facing life numbers
Crack mothers, crack babies and AIDS patients
Young bloods can't spell but they could rock you in PlayStation
This new math is whipping motherfuckers' ass
You want to know how to rhyme you better learn how to add
It's mathematics


""The Mighty Mos Def""""it's simple mathematics""
""Check it out""""I revolve around science..""
""What are we talking about here?""
""Do your math""
""1, 2, 3, 4""
""What are we talking about here?""


It's one universal lawbut 2 sides to every story
3 strikes and you be in for life, mandatory
4 MC's murdered in the last 4 years
I ain't trying to be the fifth one, the millennium is here
Yo it's 6 Million Ways to Die, from the 7 deadly thrills
8-year olds getting found with 9mils
It's 10 P.M., where your seeds at?What's the deal?
He on the hillpumping krillto keep they belly filled
Light in the ass with heavy steel, sights on the pretty shit in life
Young soldiers trying to earn their next stripe
When the average minimum wage is $5.15
You best believe you've got to find a new grind to get C.R.E.A.M
The white unemployment rate? It's nearly more than triple for black
Some front-liners got their gun in your back
Bubbling crack, jewel theft and robbery to combat poverty
And end up in the global jail economy
Stiffer stipulations attached to each sentence
Budget cutbacks but increased police presence
And even if you get out of prison still living
Join the other 5 million under state supervision
This is business: no faces, just lines and statistics
From your phone, your zip code to S-S-I digits
The system break man, child, and women into figures
2 columns for ""who is"" and ""who ain't niggas""
Numbers is hard and real and they never have feelings
But you push too hard, even numbers got limits
Why did one straw break the camel's back?
Here's the secret
The million other straws underneath it:it's all mathematics",rap
1,Mos Def,"Back Home by A$AP Rocky  (Ft. Acyde & A$AP Yams) prod. by A$AP Rocky, DDot Omen & Thelonious Martin",http://genius.com/A-ap-rocky-back-home-lyrics,"
Gotta find my way back home, I've been away too long
Gotta find my way back home, I'm moving...


War Lords, we all Lords, but we your Lords
Tryna find home, next stop is the Waldorf
Past the racism and fake-ism
Type of hate that make you feel worse than a rape victim,raw dogs
You other niggas mad soft, mad I rap my ass off
They throwin' mad salt, 'til I go bath salt
On wax, spitting heat to melt the wax off
I'm Mr. Miyagi in Issey Miyake
Asshole flow, fuck name brands, past logos
Now I'm onto grand raps, hands so low, uh
It's like my fashion style is the life saver
Guess she wasn't satisfied with titties that Christ gave her
Bragging that her new ass shots is a life changer
Head so good on that girl that I might pay her, or nah
Super laid back cat, opposite of fat black, Al Capone
Tell them lil' niggas Flacko home


Gotta find my way back home
I've been away too long
Gotta find my way back home
I've been away too long
Gotta find my way back home
I've been away too long
Gotta find my way back home
I've been away too long


Father, Lord forgive me as I load up the semi
Roll through the city, that chose to resent me
Hold it, don't load it, reload it
On plenty, any foe or a-BEEP-
That ever voted against me, dissed me
Pissed me off then tried to hold it against me
Or wish we off the worst of luck that ever hated
Never hesitated, the designated, all of the wrong that they did me
Is stored in my memory all of the thoughts that I thought of
Means more for my enemies
Sippin' holy water like it's bore from my kidneys
Load the smoke like a chimney, make a toast for the memories
Make a toast for the henny, it's the best for the remedies
Energy, synergy, frienemies, industries
Finna get advantage on him and his nemesis
Bitches been sniffing
If I, if I ain't the greatest, bitch I'm one of em
Howin the fuck could you front on em
My old ho beefing, my ex won't be friends
Bronson told me not to eat ham,rest in peace Yams


Rest in peace Yams,RIP A$APYamborghini
We gon' take it uptown one time
We gon' take em back home, show em how me do
They call me Pretty Flacko ladies and gentlemen
I'd like to introduce Pretty Flacko Sr
Yasiin Bey


Magnum spectacular, black man megalas
Shine amethyst, fly champion, it's like that again
What's happening? Mathematics master blin'
Flacko season, all day, erryday
Ask me how it's going, I tell em on and on and on and on and
You led me out to Arizona
Steady flowing, staying golden
Sand cover, ready rover
Flacko glowing in that Owens, that's how it's going
Awareness to the areas, familiar with the routes
Travellin' man, moving through places, space and time
In a country called earth


Nah'mean, these tacky ass muh'fuckers be in the pictures.Wearing all types of mother fuckin' red and green stripes, over accessorizing out this mother fucker.We from Harlem, we gave y'all mother fucker this wave. Grab y'all surfboards, cause y'all got your boogy boards right now, fucker. Ya'll just gon' keep watching us at the beach show with your mother fuckin' khakis rolled up. With your chancletas in your hand and we just gon' keep surfing on this mother fucker.Straight up. It's ya' boy, A$AP Yams, Yamborghini. Yo Rock man, let these mother fuckers know what it is out this mother fucker. A$AP, bitch!",rap
2,Mos Def,Ms. Fat Booty prod. by Ayatollah,http://genius.com/Yasiin-bey-ms-fat-booty-lyrics,"I know I can't afford to stop
For one moment, that it's too soon to forget


Man, duke I was in love with this girl, duke
I was tore up dog, I'm telling you man
Shit is wild man, for real
It's, she's from, let me tell you about her


In she came with the same type game
The type of girl giving out the fake cell phone and name
Big fame, she like cats with big things
Jewels chipped, money clip, phone flip, the six range
I seen her on the Ave, spotted her more than once
Ass so fat that you could see it from the front
She spot me like paparazzi,shot me a glance
In that catwoman stance with the fat booty pants,hot damn!
What's your name love, where you came from?
Neck and wrist laced up, very little make-up
The swims at the Reebok gym tone your frame up
Is sugar and spice the only thing that you made of?
I tried to play it low key, but couldn't keep it down
Asked her to dance and she was like, ""Yo, I'm leaving now""
An hour later, sounds from Jamaica
She sipping Cris straight up, shaking, winding her waist up
Scene 2: my fam throwing the jam
Fareed is on the stand, big things is in the plans
The brother Big Mu makes space for me to move
""Ayo, this my man Mos, baby, let me introduce""
I turned around (Say word!) it was the same pretty bird
Who I had priorly observed trying to play me for the herb
Shocked as hell she couldn't get it together
I just played along and pretended I never met her
How you feeling? ""Oh, I'm fine"" My name is Mos ""I'm Sharice""
I heard so much good about you, it's nice to finally meet
We moved to the booth reserved for crew especially
And honey love ended up sitting directly next to me
I'm type polite but now I'm looking at her skeptically
Cause baby girl got all the right weaponry
Designer fabric, shoes and accessories
Chinky eyes, sweet voice is fucking with me mentally
We conversated, made her laugh, yeah, you know me bro
Even though I know the steelo, she wild sweet, yo
I'm 'bout to murk, I say peace to the family
She hop up like, ""How you gon' leave before you dance with me?""




She blew my whole head with that duke, I was like, word?
I played it low though, I was like, yeah, aight, come on then, let's go
Niggas was mad, niggas was so sick, I tell ya
Yo, honey was so blazing she was just
Yo, she looked like Jayne Kennedy,word bond, to my mother man
She was that ill man, she take me to the dance floor
And she start whispering to me and shit


""Yo, let me apologize for the other night
I know it wasn't right, but baby you know what it's like
Some brothers don't be coming right, I understand, I'm feeling you
Besides, can I have a dance ain't really that original""
We laughed about it, traced her arms across my shoulder blades
They playing Lovers Rock, I got the folded fingers on her waist
Heating my blood up like the Arizona summer
Song finished then she whispered, ""Honey, let's exchange numbers""
Scene 3: weeks of dating late night conversation
In the crib heart racing, trying to be cool and patient
She touched on my eyelids, the room fell silent
She walked away smiling, singing Gregory Isaacs
Like, ""If I don't, if I don't have you""
Showing me her tan line and her tattoo
Playing Sade, Sweetest Taboo
Burning candles, all my other plans got cancelled
Man I smashed it like a Idaho potato
She call me at my J.O., come now, I can't say no
Ginseng tree trunks,rocking the P-funk
Cocking her knees up, champion lover not ease up
Three months, she call I feel I'm running a fever
Six months, I'm telling her I desperately need her
Nine months, flu-like symptoms when shorty not around
I need more than to knock it down, I'm really trying to lock it down
Midnight we hook up and go at it
Burn a stoge and let her know, sweetheart I got to have it
She telling me commitment is something she can't manage
Wake up the next morning, she gone like it was magic
Ahh, damn it, my shit is on Harrison Ford Frantic
My 911's unanswered by my fly Taurus enchantress
Next week, Mu hit me up, I saw Sharice at the Kittie club
With some banging ass Asian playing lay it down and lick me up
What!?",rap
3,Mos Def,Respiration by Black Star  (Ft. Common) prod. by Hi-Tek,http://genius.com/Black-star-respiration-lyrics,"""What'd you do last night?""
""We did umm, two whole cars
It was me, Dez, and Main Three right?
And on the first car in small letters it said
'All you see is..' and then you know
Big, big, you know some block silver letters
That said '..crime in the city' right?""
""It just took up the whole car?""
""Yeah yeah, it was a whole car and shit...""

Escuchela.. la ciudad respirando


The new moon rode high in the crown of the metropolis
Shining, like who on top of this?
People was tussling, arguing and bustling
Gangstas of Gotham hardcore hustling
I'm wrestling with words and ideas
My ears is pricked, seeking what will transmit
The scribes can apply to transcript, yo
This ain't no time where the usual is suitable
Tonight alive,let's describe the inscrutable
The indisputable, we New York the narcotic
Draped in metal and fiber optics
Where mercenaries is paid to trade hot stock tips
For profits, thirsty criminals take pockets
Hard knuckles on the second hands of working class watches
Skyscrapers is colossus,the cost of living is preposterous
Stay alive, you play or die, no options,no Batman and Robin
Can't tell between the cops and the robbers, they both partners, they all heartless
With no conscience, back streets stay darkened
Where unbeliever hearts stay hardened
My eagle talons stay sharpened, like city lights stay throbbing
You either make a way or stay sobbing
The shiny Apple is bruised but sweetand if you choose to eat
You could lose your teeth,many crews retreat
Nightly news repeat, who got shot down and locked down
Spotlight to savages, NASDAQ averages
My narrative rose to explain this existence
Amidst the harbor lights which remain in the distance


So much on my mind that I can't recline
Blastin holes in the night til she bled sunshine
Breathe in, inhale vapors from bright stars that shine
Breathe out,weed smoke retrace the skyline
Heard the bass ride out like an ancient mating call
I can't take it y'all, I can feel the city breathing
Chest heaving, against the flesh of the evening
Sigh before we die like the last train leaving


Breathin in deep city breaths, sittin on shitty steps
We stoop to new lows, hell froze the night the city slept
The beast crept through concrete jungles
Communicatin with one another
And ghetto birdswhere waters fall
From the hydrants to the gutters
The beast walk the beats, but the beats we be makin
You on the wrong side of the track, lookin visibly shaken
Taken them plungers, plungin to death that's painted by the numbers
With Krylon applied pressure,cats is playin God
By havin children by a lesser baby mother but fuck it
We played against each other like puppets,swearin you got pull
When the only pull you got is the wool over your eyes
Gettin knowledge in jail like a blessing in disguise
Look in the skies for God, what you see besides the smog
Is broken dreams flying away on the wings of the obscene
Thoughts that people put in the air
Places where you could get murdered over a glare
But everything is fair
It's a paradox we call reality
So keepin it real will make you casualty of abnormal normality
Killers Born Naturally like, Mickey and Mallory
Not knowing the ways'll get you capped like an NBA salary
Some cats be emceeing to illustrate what we be seeing
Hard to be a spiritual being when shit is shakin what you believe in
For trees to grow in Brooklyn, seeds need to be planted
I'm asking if y'all feel me and the crowd left me stranded
My blood pressure boiled and rose,cause New York niggas
Actin spoiled at shows,to the winners the spoils go
I take the L, transfer to the 2, head to the gates
New York life type trife the Roman Empire state



[Spanish speaking woman] Escuchela.. respirando ??


Yo...on The Amen, Corner I stood lookin at my former hood
Felt the spirit in the wind, knew my friend was gone for good
Threw dirt on the casket, the hurt, I couldn't mask it
Mixin down emotions, struggle I hadn't mastered
I choreograph seven steps to heaven
In hell, waiting to exhaleand make the bread leaven
Veteran of a cold warIt's Chica-I-go for
What I know or, what's known
So some days I take the bus home, just to touch home
From the crib I spend months gone
Sat by the window with a clutched dome listenin to shorties cuss long
Young girls with weak minds, but they butt strong
Tried to call, or at least beep the Lord, but didn't have a touch-tone
It's a dog-eat-dog world, you gotta mush on
Some of this land I must own
Outta the city, they want us gone
Tearin down the 'jects creatin plush homes
My circumstance is between Cabrini and Love Jones
Surrounded by hate, yet I love home
Ask my guy how he thought travellin the world sound
Found it hard to imagine he hadn't been past downtown
It's deep, I heard the city breathe in its sleep
Of reality I touch, but for me it's hard to keep
Deep, I heard my man breathe in his sleep
Of reality I touch, but for me it's hard to keep

",rap
4,Mos Def,Two Words by Kanye West  (Ft. Freeway) prod. by Kanye West,http://genius.com/Kanye-west-two-words-lyrics,"Half-Hook: Kanye West]
Now throw ya hands up hustlers, busters, boosters, hoes
Everybody, fuck that
Still nowhere to go, still nowhere to go


Two words, United States, no love, no breaks
Low brow,high stakes,crack smoke, black folks
Big Macs, fat folks,ecstasy capsules
Presidential scandals, everybody move
Two words, Mos Def, K. West, hot shit
Calm down, get back,ghetto people, got this
Game 'pon lock shit, gun 'pon cock shit
We won't stop shit, everybody move
Two words,BK, NY, Bed Stuy
Too harsh, too hungry, too many, that's why
These streets know game, can't ball, don't play
Heavy traffic, one lane, everybody move
Two words, Mos Def,Black Jack, hot shit
Calm down, get back, ghetto people, got this
Game 'pon lock, gun 'pon cock
We won't stop, everybody move

[Hook: Kanye West(w/ Harlem Boys Choir)]
Now throw ya hands up hustlers, busters, boosters, hoes (Throw your hands up high)
Everybody, fuck that
Still nowhere to go, still nowhere to go
And keep ya hands up hustlers
Busters,boosters, hoes ('Til they reach the sky)
Everybody, fuck that
Still nowhere to go, still nowhere to go


Two words,Chi-town,South Side, worldwide
Cause I rep that 'til I fuckin' die
One neck two chains,one waist two gats
One wall twenty plaques, dues paid, gimme that
I am limelight,five mics
Go Getters rhyme like, should've been signed twice
Most imitated,Grammy nominated
Hotel accommodated, cheerleader prom-dated
Barbershop playa-hated,mom-and-pop bootlegged it
Felt like it rained 'til the roof caved in
Two words, Chi-town raised me crazy
So I live by two words:""fuck you, pay me""
Screamin' ""Jesus save me""
You know how the game be
I can't let 'em change me
Cause on judgment day, you gon' blame me
Look, God, it's the same me
And I basically know now
We get racially profiled
'Cuffed up and hosed down, pimped up and ho'd down
Plus I got a whole city to hold down
From the bottom so the top's
The only place to go now




Two words, free way, two letters, AR
Turn y'all rap niggas to two words, fast runners
Like Jackie Joyner, you better sleep with your burner
The heat skeet, blow a reef through ya car, my God
Two words, no guns, break arms
Break necks, break backs, Steven Seagal
Free, young boss,freshman of the Roc
With the beef in the pot Jay sent for his dogs
To brawl, forget ya squad, better fend for yourself
Have you screamin' out four words, ""send for the law"", uh
Two words, Freeway slightly retarded
Fuck around, throw a clip in ya artist, leave with his broad


Red, white, blue, black (Throw your hands up)
Calm down, move back
Motherfuckers askin' ""who is that?""
You know it's the almighty Black Jack
Mos Def, K. West
Ghetto people get this shit off ya chest
North to the south, to the east, to the west
Black Jack Johnson, it's no contest
(High) And show it to 'em like",rap
5,Mos Def,Drunk and Hot Girls by Kanye West  prod. by Jon Brion & Kanye West,http://genius.com/Kanye-west-drunk-and-hot-girls-lyrics,"La-da-da da-da da-da da-da da-da da
Blap!


We go through too much bullshit
Just to mess with these drunk and hot girls
She go through too much bullshit
Just to mess with these drunk and hot girls


Driving around town looking for the best spot
For the drunk and hot girls
Up in the club look at here what we got
Some drunk and hot girls
Stop dancing with your girlfriend and come dance with me
Stop talking 'bout your boyfriend since he is not me
Stop running up my tab cause these drinks is not free
You drunk and hot girl


We go through too much bullshit
Just to mess with these drunk and hot girls
She go through too much bullshit
Just to mess with these drunk and hot girls


I don't want to drop your friends off, I just want you
You drunk and hot girl
You want to sit down but we hit the drive-thru
You drunk and hot girl
Please don't fall asleep, baby, we almost back
Please don't throw up in the car, we almost crashed
Oh, now you sober, how'd I know you'd say that
You drunk and hot girl


We go through too much bullshit
Just to mess with these drunk and hot girls
She go through too much bullshit
Just to mess with these drunk and hot girls


Love the dangerous necessity that people seek
Without regard to where they are
The human heart is curious
Above all things, love, the lights are low, your eyes are bright
The music plays, it's sweet delight
It's out of sight, I'm feeling right
Your dress is tight
Oh howwwwww, I want you right now


Don't tell me, you sing, you about to get a deal
You drunk and hot girl
""Ah da da da da."" That's how the fuck you sound
You drunk and hot girl, yeah
You only live once, do whatever you like
I thought I'd be with you for only one night
Now I'm with this girl for the rest of my life
That drunk and hot girl


We go through too much bullshit just to mess with these drunk and hot girls
(A little sippy sippy)
We gonna through too much bullshit just to mess with these drunk and hot girls
(Did she say she want a brewski?)
(We go through too much bullshit to mess mess with these drunk
All of these drunk and hot girls)",rap
6,Mos Def,Auditorium (Ft. Slick Rick) prod. by Madlib,http://genius.com/Yasiin-bey-auditorium-lyrics,"The way I feel, sometimes it's too hard to sit still
Things are so passionate, times are so real
Sometimes I try and chill, mellow down, blowin' smoke
Smile on my face but it's really no joke
You feel it in the streets, people breathe without hope
They goin' through the motion, they dimmin' down their focus
The focus gettin' clear and the light turn sharp
And the eyes go teary, the mind grow weary
I speak it so clearly sometimes you don't hear me
I push it past the bass, know nations gotta feel me
I feel it in my bones, black I'm so wide awake
That I hardly ever sleep, my flows forever deep
And it's volumes or scriptures when I breathe on a beat
My presence speak volumes before I say a word
I'm everywhere: penthouse, pavement and curb
Cradle to the grave, tall cathedral of a shell
Universal ghetto life, holla black you know it well
Quiet storm, vital form, pen pushed it right across
Mind is a vital force, high level right across
Soul is the lions roar, voice is the siren
I swing round, ring out and bring down the tyrant
Shocked a small act could knock a giant lopsided
The world is so dangerous, there's no need for fightin'
Suckas trying to hide like the struggle won't find 'em
And the sun bust through the clouds to clearly remind him
Everywhere penthouse pavement and curb
Cradle to the grave, talk'll lead you on a shell
Universal ghetto life, holla black you know it well


What it is, you know, they know
What it is, we know, y'all know
What it is, Ecstatic, there it is
What it is, you know, we know
What it is, they know, y'all know
What it is, you don't know? Here it is

And always on time and rockin ya mind


Sit and come relax, riddle off the mac
It's the patch,I'm a soldier in the middle of Iraq
Well say about noonish,comin' out the whip
And lookin at me curious, a young Iraqi kid
Carrying laundry, ""What's wrong G? Hungry?""
""No, gimme my oil or get [fuck] out my country""
And in Arabian barkin' other stuff
'til his moms come grab him and they walk off in a rush
Distrust, feeling like I've pissed upon wound
I'm like, ""Surely hope that we can fix our differences soon!"" Bye!
Buying apples I'm breakin' on
You take everything, why not just take the damn food, black monster?Like I don't understand it, on another planet
15 month of this stuff, how I'm gonna manage?
And increasing the sentiment, gentlemen
Getting down on their middle eastern instruments
Realized trapped in this crowd
Walk over kicked one of my fabulous raps (la dee da dee)
Arab jaw drop, they well wish, they glad rap
Now the kid considered like an Elvis of Baghdad


Omar: Men have two faces: one that laughs and one that cries
Ali: They sent you?
Omar: Yeah, so? Here

",rap
7,Mos Def,All Praise Due prod. by Adlib,http://genius.com/Yasiin-bey-all-praise-due-lyrics,"A lot of people wonder...a lot of speculation goin' on about...who's in control. Who is God? Who's on top of this thing? Am I God? Is God in me? Well I got the answer. Let 'em know. 'Bout to give it to y'all. Let 'em know oh oh. It goes like this


God make the world get up and move
God make the world go round
God make the moon rise high
God make the sun [?] Allah, a ha ha
We are, we are, the grand groove, grand groove
God make the world get up and move
God Allah make world the get up and move
Allah make the world, God make the world


Yo check
All praise due to the Merciful and Beneficent
Sovereign universal dominate black element
That's the space, ancient like Sanskrit
Even though man made transmit my transcripts
And they can't be tamped with
Allah protect this
I make jams for crime clans and working class fams
And all y'all mans who eat aci with chams
And heads in the flats who dispatch the dollar vans
Young kids in badlands with great escape plans
Who eat most of they meals outta boxes and cans
Casualties and cutbacks of social programs
Dedicated
To all those who rode slave ships
Who screamed and cried but survived the ride
I know that my life is better cause you weathered the tide
Harder work on this side making truth magnify
Devils can't stop me, but they damn sure try
Shine the light on the Earth that receive and radiate
Ain't no surface I've seen that's too dense to penetrate
There are plans by many hands to make us deviate
So I speak on plates so that all good life regenerate
Baby ain't no time to deliberate
He put the wonder in the world let's activate
Let's activate, let's activate, let's activate
Cause





You know I ain't gotta lie to you
God made the world get up and move
You know I ain't gotta lie to you
God Allah made the world get up it's true
You know I ain't gotta lie to you
God made the world get up and move
You know I ain't gotta lie to you
God Allah made the world get up it's true
Yes you know I ain't gotta lie to you
God Allah made the world, Allah made it all
Allah made the world, Allah made it all
Allah made the world, Allah makes it all
Allah made the world, Allah controls it all
Allah makes the world, Allah controls it all
Allah made the world, Allah controls it all",rap
8,Mos Def,America by K'naan  (Ft. Chali 2na),http://genius.com/Knaan-america-lyrics,"Uh huh uh huh uh huh
Oh this takes me home
It makes me think about sitting outside of my old home when I was younger and singing something like

(K'Naan in Somali)
Gabaryaray shuxaano
Maro Shabeel eh xirato
Maro qafiif eh huwato
Magacaaga ii sheeg
Magacayga waa Sharaf
Sharaf, Xaaji weyaan
Aqalada xiriirta
Dhinac baa ka jooga
Ala yaa usheega?
Tinta ushaleeya?
Naa hoéy Zamzamey
Sabaax nuurey
Adoo kilkiley
Iyo
Kaloon badanay
Adoo xajka jira
Xasuus badhanay!
Saxiibtaa
Caasho, cashaq baa dhilay
Ugu dhambaystina
Aniga iyo geel uba
Ugu banaan bixin
Waa aniga orodneey
Nabad dheynee
Mareekan waa laga soo waayey
Mareekan waa laga soo waayey
Mareekan waa laga soo waayey



There are certain things fresh and certain things mish
I got my own sound I don't sound like the rest
And even my attire and my choice of dress
And not long ago I don't spoke English
My point is police pull me over a lot
They wonder what kind of rap sheet I got
And sometimes I take a young girl out to eat
And hold the door open, ""Oh, you're so sweet!""
Of course my affection's super illustrated
And I like to give don't reciprocate it
Unless you could give me someone innovated
Well lets cook it up we dont refrigerate it
But back to the country of the educated
Where people get robbed and they celebrate it

Waa aniga orodneey
Nabad dheynee!
Mareekan waa laga soo waayey
Mareekan waa laga soo waayey
Mareekan waa laga soo waayey



Maraken,my country 'tis of thee
Sweet land for robberies
Dope smokeand SUV’s,red meat and army greens
Fat and frills, thrills and spills
Eat and sleep, hump and kill
Shop til you drop,work til you dead
Get all you can, then get in the wind
Outta my face on your knees
Sleep in the mansion, shut out the streets
Make that cake, whoop that trick
Lick my swagger suck my sick
Get high get low get stcky get rich
Get yo own showget down get quick
You slow you blow you broke your fix
Terror dome, home swag home
Terror dome, home swag home
Home swag home, home swag home

(Somalian(America))


There are some things pure while certain things blur
Dilute it with the lie and you believe when it occur
Falsified information got my people in the stir
We have to be in search of something equal to the cure
Straight out the door, I come to give you more
Lay the law keep it raw, when I speak it from the core
Get underneath your skin like especially with the claw
Conflicted with the rich cuz I kick it with the poor
I laugh in the face of adversity
Sound clashed with the bass cuz its natural to me
But if you pay attention to the past you will see
Not long ago you black they'd hang your ass from a tree
Certain things things change, while some stay the same
Some are recluse others are lovers of the game
I'm trying to walk the lane, the Sirat al-Mustaqim
Instead of doing things they keep you covered in the flame

(Somali)
Nanananana that shit was cool in English, but let me get that Somali verse
(Somali)

(Somali until fade out)",rap
9,Mos Def,An Open Letter From Mos Def,http://genius.com/Yasiin-bey-an-open-letter-from-mos-def-annotated,"An Open Letter From Mos Def
By Mos Def
February 1999

An Open letter From Mos Def...
Diallo was a West African immigrant with no prior criminal record who was shot and killed by police in the dark of night for simply being black. He was unarmed and shot at 41 times!No unarmed man should be shot at even once!One of the police officers involved in the Diallo shooting was involved in the killing of Patrick Bailey no more than a year and a half ago!Tyesha Miller was shot in her car in Los Angeles while she had a seizure!I could go on and on with the names of black people who have been killed at the hands of police just this year. But the list is so long that it would turn this letter into a statistic sheet.

Most of the people that got killed by police this year and in the past have probably been some of your fans; fans of some of your favorite artists.They are black people who love us, who defend us, who protect us, who put us in our comfortable homes an dour luxury sports utility vehicles and our well kept hotels suites and our oversized tour buses. They're the people that buy our records, our t-shirts, our concert tickets, and so on, and so forth.They're the same people that are getting murdered, harassed, maimed, and beaten in streets all over the world everyday!

The only people in our community who have not responded to this incident are us. Hip-Hop made one hundred billion dollars last year!...A lot of those dollars came from the 'Comptoms',the 'Brooklyns',the 'Crown Heights', the 'Chicagos', the Detroit ghettos, the St. Louis ghettos... the same ghettos where police run around literally hunting black folks to murder... then cruise the streets shortly thereafter with impunity and arrogance.

We are the Senators and the Congressmen of our communities.We come from communities that don't have nobody to speak for them. That's why they love us. Because we talk about what nobody else will talk about. We represent them. And they need to know that we really represent them. Not when it's just a romantic notion or a paycheck attached to it. When something happens to them it matters to us, because when something happens to them it's happening to us.Because Amadou Diallo is your brother, your cousin, your man...Tyesha Miller is your sister, your aunt, your girl, your wife, your daughter... All of these people are you! You are no different!And just because we're at the top of the Billboard charts, seen on MTV daily, livin' comfortably doesn't mean that we can't get shot, we can't be harassed, we can't be maimed and mistreated.

I hope this is as important to you as it is to me cause when I pass by the projects and when I pass by the hood I don't see nobody but me. I see everybody who looks like me. I see me many years ago as I'm sure many of you do. So it's time for us to come together from the 'jiggy' to the 'hardcore'; from the 'backpacker' to the man with the Lexus and really unite and show the world that we got strength. Show the world who we are. Represent who we are. Who we really are and where we really come from. Let's show people where our heart is... that we haven't forgotten.

Now I'm askin' you and anybody who looks on this letter to come forward and show your heart, to show your love, to love the people who love you back by speaking out against the injustices that they suffer. Because believe me, if the clock was turned backwards we'd be those same people.

Please stay mindful of this. Please be considerate of this letter. Pass it around! Talk about this! Think about it! Keep it on your mind because if you don't... it's going to keep its mind on you.

I wanna thank everybody for taking time out to read this letter. I hope I didn't take up too much of your time. All of the contact information and other information you need to know is enclosed.

I want to wish everybody, each and everyone of ya'll peace, prosperity and love.

Peace,
Mos Def",rap
