,artist,song,link,lyrics,genre
0,The Who,Baba O'Riley,http://genius.com/The-who-baba-oriley-lyrics,"{Lead In}

{Roger Daltrey}
Out here in the fields, I fight for my meals
I get my back into my living
I don't need to fight to prove I'm right
I don't need to be forgiven

{Pete Townshend}
Don't cry, don't raise your eye
It's only teenage wasteland

{Roger Daltrey}
Sally, take my hand, we'll travel south 'cross land
Put out the fire and don't look past my shoulder
The exodus is here,the happy ones are near
Let's get togetherbefore we get much older

{Roger Daltrey}
Teenage wasteland,it's only teenage wasteland
Teenage wasteland, oh, oh
Teenage wasteland,they're all wasted!

{Instrumental}",rock
1,The Who,Won't Get Fooled Again,http://genius.com/The-who-wont-get-fooled-again-lyrics,"We'll be fighting in the streets
With our children at our feet
And the morals that they worship will be gone
And the men who spurred us on
Sit in judgment of all wrong
They decide and the shotgun sings the song

I'll tip my hat to the new constitution
Take a bow for the new revolution
Smile and grin at the change all around me
Pick up my guitar and play
Just like yesterday
And I'll get on my knees and pray
We don't get fooled again
Don't get fooled again

Change it had to come
We knew it all along
We were liberated from the fold that's all
But the world looks just the same
And history ain't changed
Cause the banners, they all flown in the last war

I'll tip my hat to the new constitution
Take a bow for the new revolution
Smile and grin at the change all around me
Pick up my guitar and play
Just like yesterday
And I'll get on my knees and pray
We don't get fooled again
No, no!

I'll move myself and my family aside
If we happen to be left half alive
I'll get all my papers and smile at the sky
For I know that the hypnotized never lie

Do ya?

There's nothing in the street
Looks any different to me
And the slogans are replaced, by-the-bye
And the parting on the left
Is now the parting on the right
And the beards have all grown longer overnight

I'll tip my hat to the new constitution
Take a bow for the new revolution
Smile and grin at the change all around me
Pick up my guitar and play
Just like yesterday
Then I'll get on my knees and pray
We don't get fooled again
Don't get fooled again
No, no!

YEAH!!!

Meet the new boss
Same as the old boss",rock
2,The Who,Behind Blue Eyes,http://genius.com/The-who-behind-blue-eyes-lyrics,"No one knows what it's like
To be the bad man, to be the sad man
Behind blue eyes

No one knows what it's like
To be hated, to be fated
To telling only lies

But my dreams, they aren't as empty
As my conscience seems to be
I have hours, only lonely
My love is vengeance that's never free

No one knows what it's like
To feel these feelings like I do
And I blame you

No one bites back as hard
On their anger, none of my pain and woe
Can show through

But my dreams, they aren't as empty
As my conscience seems to be
I have hours, only lonely
My love is vengeance that's never free

When my fist clenches, crack it open
Before I use it and lose my cool
When I smile, tell me some bad news
Before I laugh and act like a fool

And if I swallow anything evil
Put your finger down my throat
And if I shiver, please give me a blanket
Keep me warm, let me wear your coat

No one knows what it's like
To be the bad man, to be the sad man
Behind blue eyes",rock
3,The Who,Who Are You,http://genius.com/The-who-who-are-you-lyrics,"I woke up in a Soho doorway
A policeman knew my name
He said ""You can go sleep at home tonight
If you can get up and walk away""
I staggered back to the underground
And the breeze blew back my hair
I remember throwing punches around
And preaching from my chair


Well, who are you? (Who are you? Who, who, who, who?)
I really want to know (Who are you? Who, who, who, who?)
Because I really want to know (Who are you? Who, who, who, who?)


I took the tube back out of town
Back to the Rolling Pin
I felt a little like a dying clown
With a streak of Rin
I stretched back and I hiccupped
And looked back on my busy day
Eleven hours in the Tin Pan
God, there's got to be another way
Who are you?
Oh wa oh wa oh wa oh wa






I know there's a place you walked
Where love falls from the trees
My heart is like a broken cup
I only feel right on my knees
I spit out like a sewer hole
Yet still receive your kiss
How can I measure up to anyone now
After such a love as this?

",rock
4,The Who,Eminence Front,http://genius.com/The-who-eminence-front-lyrics,"The sun shines
And people forget
The spray flies as the speedboat glides
And people forget
Forget they are hiding
The girls smile
And people forget
The snow packs as the skier tracks
And people forget
Forget they are hiding


Behind an eminence front
Eminence front – It is a put on
Come on join the party
Dress to kill
Will not you come and join the party
Dress to kill


The drinks flow
People forget
That big wheel spins, the hair thins
People forget
Forget they are hiding
The news slows
People forget
The shares crash, hopes are dashed
People forget
Forget they are hiding


Behind an eminence front
Eminence front – it is a put on
Come on join the party
Dress to
Come on join the party
Dress to
Come on join the party
Dress to
Come on join the party
Dress to kill
Dress yourself, dressed to kill",rock
5,The Who,My Generation prod. by Shel Talmy,http://genius.com/The-who-my-generation-lyrics,"d-down(Talking aboutmy generation)
Just because we get around(Talking about my generation)
Things they do look awful c-c-cold (Talking about my generation)
I hope I die before I get old(Talking about my generation)

This is my generation
This is my generation, baby


Why don't you all f-fade away (Talkin' 'bout my generation)
And don't try to dig what we all s-s-say(Talkin' 'bout my generation)
I'm not trying to cause a big s-s-sensation (Talkin' 'bout my generation)
I'm just talkin' 'bout my g-g-g-generation (Talkin' 'bout my generation)

This is my generation
This is my generation, baby





Why don't you all f-fade away (Talkin' 'bout my generation)
And don't try to dig what we all s-s-say (Talkin' 'bout my generation)
I'm not trying to cause a big s-s-sensation (Talkin' 'bout my generation)
I'm just talkin' 'bout my g-g-g-generation (Talkin' 'bout my generation)

This is my generation
This is my generation, baby


People try to put us d-down (Talking about my generation
Just because we get around (Talking about my generation)
Things they do look awful c-c-cold (Talking about my generation)
I hope I die before I get old(Talking about my generation)

This is my generation
This is my generation, baby

{Outro}",rock
6,The Who,Pinball Wizard prod. by Kit Lambert,http://genius.com/The-who-pinball-wizard-lyrics,"Ever since I was a young boy
I've played the silver ball
From Soho down to Brighton
I must have played them all
But I ain't seen nothing like him
In any amusement hall
That deaf, dumb, and blind kid
Sure plays a mean pinball

He stands like a statue
Becomes part of the machine
Feeling all the bumpers
Always playing clean
Plays by intuition
The digit counters fall
Thatdeaf, dumb, and blind kid
Sure plays a mean pinball

He's a pinball wizard
There has to be a twist
A pinball wizard's
Got such a supple wrist

How do you think he does it?
I don't know!
What makes him so good?

Ain't got no distractions
Can't hear no buzzers and bells
Don't see no lights a flashin'
Plays by sense of smell
Always gets the replay
Never seen him fall
Thatdeaf, dumb, and blind kid
Sure plays a mean pinball

I thought I was
The Bally table king
But I just handed
My pinball crown to him

Even on my favorite table
He can beat my best
His disciples lead him in
And he just does the rest
He's got crazy flipper fingers
Never seen him fall
That deaf, dumb, and blind
Sure plays a mean pinball!",rock
7,The Who,1921 prod. by Kit Lambert,http://genius.com/The-who-1921-lyrics,"Got a feeling '21
Is going to be a good year
Especially if you and me
See it in together

So you think '21
Is going to be a good year?
It could be good for me and her
But you and her, no, never!
I had no reason to be over optimistic
But somehow, when you smiled
I could brave bad weather

What about the boy?
What about the boy?
What about the boy?
He saw it all!

You didn't hear it
(I heard it)
You didn't see it
(I saw it)
You won't say nothing to no one
(I won't say nothing to no one)
Never in your life
(never in my life)
You never heard it
(I heard it)
How absurd it all seems
Without any proof
(How absurd it all seems without any proof)
You didn't hear it
(I heard it)
You didn't see it
(I saw it)
You never heard it, not a word of it!
(I heard it, every word of it)
You won't say nothing to no one
(I won't say nothing to no one)
Never tell a soul
What you know is the truth
(Never tell a soul
What I know is the truth)

Got a feeling '21
Is going to be a good year
Especially if you and me
See it in together
Got a feeling '21
Is going to be a good year
Especially if you and me
See it in together
I had no reason to be over-optimistic
But somehow, when you smiled
I could brave bad weather

What about the boy?",rock
8,The Who,5:15 prod. by Kit Lambert,http://genius.com/The-who-5-15-lyrics,"The ushers are sniffing
Eau de Cologning
The seats are seductive
Celibate sitting
Pretty girls digging
Prettier women

Magically bored on a quiet street corner
Free frustration in our minds and our toes
Quiet storm water,m-m-my generation
Uppers and downers, either way blood flows


Inside outside
Leave me alone
Inside outside
Nowhere is home
Inside outside
Where have I been?
Out of my brain on the 5:15
Out of my brain on the train
Out of my brain on the train


On a raft in the quarry
Slowly sinking
Back of alorry
Holy hitching
Dreadfully sorry
Apple scrumping
Born in the war
Birthday punching

He man drag in a glittering ballroom
Greyly outrageous in my high heel shoes
Tightly undone, know what they're showing
Sadly ecstatic that their heros are news




Why should I care?
Why should I care?",rock
9,The Who,905,http://genius.com/The-who-905-lyrics,"Mother was an incubator
Father was the contents
Of atest tubein the ice box
In the factory of birth
My name is 905
And I've just become alive
I'm the newest populator
Of the planet we call Earth


In suspended animation
My childhood passed me by
If I speak without emotion
Then you know the reason why
Knowledge of the universe
Was fed into my mind
As my adolescent body
Left its puberty behind


And everything I know is what I need to know
And everything I do's been done before
Every sentence in my head
Someone else has said
At each end of my life is an open door


Automatically defrosted
When manhood came on time
I became a man
I left the""ice school""behind
Now I'm to begin
The life that I'm assigned
A life that's been used before
A thousand times


I have a feeling deep inside
That somethin' is missing
It's a feeling in my soul
And I can't help wishing
That one day I'll discover
That we're living a lie
And I'll tell the whole world
The reason why

",rock
